No.,計上年,計上月,計上所属,所属コード,事故内容,発生年月日,発生時,発生曜日,発生場所番地,市区町村コード,道路形状,事故類型,１当_種別,１当_年齢,１当_性別,１当_損傷程度,２当_種別,２当_年齢,２当_性別,２当_損傷程度,路線,昼夜,天候,死者数,重傷者数,軽傷者数,発生場所緯度,発生場所経度
1,2017,07,豊前警察署,213,軽傷,20141019,18,日,築上郡吉富町大字小祝９５５番地先路上,642,一般交通の場所,その他の追突,普通乗用（総重3.5t未満又は定員10人以下）,033,男,損傷なし,普通乗用（総重3.5t未満又は定員10人以下）,032,男,軽傷,その他の市町村道,夜暮,晴,,,1,33.61473889,131.1756776
2,2017,01,東警察署,103,重傷,20141222,22,月,福岡市東区原田１丁目４５番１０号先路上,131,交差点その他,横断歩道横断中,対象外当事者,000,不明,対象外当事者,一般歩行者,045,女,重傷,その他の市町村道,夜,曇,,1,,33.61614458,130.4366768
3,2017,06,大牟田警察署,411,軽傷,20160117,00,日,福岡県大牟田市久保田町１丁目１番地２先路上,202,交差点その他,出会い頭,軽乗用,044,男,損傷なし,自転車,054,男,軽傷,国道３８９号,夜,晴,,,1,33.03211344,130.4452626
4,2017,01,粕屋警察署,115,軽傷,20160120,16,水,福岡県糟屋郡宇美町明神坂１丁目８番４０号先路上,341,交差点その他,出会い頭,普通乗用（総重3.5t未満又は定員10人以下）,080,男,損傷なし,軽乗用,035,女,軽傷,その他の市町村道,昼,曇,,,1,33.57410039,130.5132068
5,2017,03,小倉南警察署,209,軽傷,20160218,07,木,北九州市小倉南区若園四丁目２番１７号駐車場内,107,一般交通の場所,その他車両相互,普通乗用（総重3.5t未満又は定員10人以下）,056,女,損傷なし,軽貨物,040,男,損傷なし,その他の市町村道,昼明,晴,,,1,33.84649625,130.8864016
6,2017,01,高速道路交通警察隊,059,軽傷,20160220,03,土,北九州市小倉南区大字志井　九州縦貫自動車道下り１７．２キロポスト　先路上,107,その他の単路,その他車両相互,大型貨物（総重11t又は最積6.5t以上）,043,男,損傷なし,中型貨物（総重7.5t-11t又は最積4.5-6.5t）,049,男,軽傷,九州自動車道下り,夜,雨,,,1,33.81137114,130.8807171
7,2017,01,高速道路交通警察隊,059,軽傷,20160220,03,土,北九州市小倉南区大字志井九州縦貫自動車道下り１７．２キロポスト先路上,107,その他の単路,その他車両相互,中型貨物（総重7.5t-11t又は最積4.5-6.5t）,049,男,軽傷,大型貨物（総重11t又は最積6.5t以上）,062,男,損傷なし,九州自動車道下り,夜,雨,,,1,33.81145747,130.8808084
8,2017,06,宗像警察署,111,軽傷,20160221,12,日,福岡県宗像市宮田２丁目１９番１号先路上,220,その他の単路,その他の追突,軽乗用,021,女,損傷なし,普通乗用（総重3.5t未満又は定員10人以下）,053,男,軽傷,国道３号,昼,晴,,,2,33.79134569,130.5694841
9,2017,05,久留米警察署,401,軽傷,20160224,14,水,福岡県久留米市東合川二丁目２番１号　駐車場内,203,一般交通の場所,その他対歩行者,普通乗用（総重3.5t未満又は定員10人以下）,069,男,損傷なし,一般歩行者,033,女,軽傷,一般交通の用に供する道路,昼,晴,,,1,33.32037069,130.546048
10,2017,08,行橋警察署,212,軽傷,20160227,05,土,京都郡苅田町松原町１１番２０号先路上,621,交差点付近その他,その他の追突,軽乗用,021,女,損傷なし,普通乗用（総重3.5t未満又は定員10人以下）,059,男,軽傷,県道門司行橋線,夜,晴,,,1,33.79867703,130.9820663

